day,start_time,end_time,room_id,student_id,company_id,duration
Day 3,09:45,10:30,R02,S620,C004,45
Day 3,09:45,10:30,R03,S178,C010,45
Day 3,10:00,11:00,R01,S696,C003,60
Day 3,10:00,11:00,R04,S748,C013,60
Day 3,10:00,10:30,R05,S781,C016,30
Day 3,10:00,10:30,R06,S363,C018,30
Day 3,10:00,11:00,R07,S373,C019,60
Day 3,10:00,10:30,R08,S655,C022,30
Day 3,10:00,11:00,R09,S021,C028,60
Day 3,10:00,10:30,R10,S549,C035,30
Day 3,10:30,11:15,R02,S575,C004,45
Day 3,10:30,11:15,R03,S235,C010,45
Day 3,10:30,11:00,R05,S788,C016,30
Day 3,10:30,11:00,R06,S346,C018,30
Day 3,10:30,11:00,R08,S603,C022,30
Day 3,10:30,11:00,R10,S658,C035,30
Day 3,11:00,12:00,R01,S774,C001,60
Day 3,11:00,12:00,R04,S688,C003,60
Day 3,11:00,12:00,R05,S785,C013,60
Day 3,11:00,11:30,R06,S642,C015,30
Day 3,11:00,11:30,R07,S739,C016,30
Day 3,11:00,11:30,R08,S329,C018,30
Day 3,11:00,12:00,R09,S606,C019,60
Day 3,11:00,11:30,R10,S562,C022,30
Day 3,11:00,11:30,R11,S752,C023,30
Day 3,11:00,12:00,R12,S394,C028,60
Day 3,11:00,11:30,R13,S720,C030,30
Day 3,11:00,11:30,R14,S613,C035,30
Day 3,11:15,12:00,R02,S680,C004,45
Day 3,11:15,12:00,R03,S395,C010,45
Day 3,11:30,12:00,R06,S633,C015,30
Day 3,11:30,12:00,R07,S756,C016,30
Day 3,11:30,12:00,R08,S372,C018,30
Day 3,11:30,12:00,R10,S578,C022,30
Day 3,11:30,12:00,R11,S773,C023,30
Day 3,11:30,12:00,R13,S642,C030,30
Day 3,11:30,12:00,R14,S563,C035,30
Day 3,12:00,13:00,R01,S760,C001,60
Day 3,12:00,13:00,R02,S733,C003,60
Day 3,12:00,12:45,R03,S591,C004,45
Day 3,12:00,13:00,R04,S756,C013,60
Day 3,12:00,12:30,R05,S618,C015,30
Day 3,12:00,12:30,R06,S697,C016,30
Day 3,12:00,12:30,R07,S343,C018,30
Day 3,12:00,13:00,R08,S765,C019,60
Day 3,12:00,12:30,R09,S624,C022,30
Day 3,12:00,12:30,R10,S761,C023,30
Day 3,12:00,13:00,R11,S642,C028,60
Day 3,12:00,12:30,R12,S724,C030,30
Day 3,12:00,12:30,R13,S571,C035,30
Day 3,12:30,13:00,R05,S683,C015,30
Day 3,12:30,13:00,R06,S745,C016,30
Day 3,12:30,13:00,R07,S369,C018,30
Day 3,12:30,13:00,R09,S618,C022,30
Day 3,12:30,13:00,R10,S749,C023,30
Day 3,12:30,13:00,R12,S726,C030,30
Day 3,12:30,13:00,R13,S551,C035,30
Day 3,12:45,13:30,R03,S544,C004,45
Day 3,13:00,14:00,R01,S785,C001,60
Day 3,13:00,14:00,R02,S720,C003,60
Day 3,13:00,14:00,R04,S761,C013,60
Day 3,13:00,13:30,R05,S661,C015,30
Day 3,13:00,13:30,R06,S684,C016,30
Day 3,13:00,14:00,R07,S756,C019,60
Day 3,13:00,13:30,R08,S615,C022,30
Day 3,13:00,13:30,R09,S745,C023,30
Day 3,13:00,14:00,R10,S770,C028,60
Day 3,13:00,13:30,R11,S637,C030,30
Day 3,13:00,13:30,R12,S593,C035,30
Day 3,13:30,14:15,R03,S563,C004,45
Day 3,13:30,14:00,R05,S666,C015,30
Day 3,13:30,14:00,R06,S760,C016,30
Day 3,13:30,14:00,R08,S702,C022,30
Day 3,13:30,14:00,R09,S742,C023,30
Day 3,13:30,14:00,R11,S670,C030,30
Day 3,13:30,14:00,R12,S680,C035,30
Day 3,14:00,15:00,R01,S761,C001,60
Day 3,14:00,15:00,R02,S701,C003,60
Day 3,14:00,15:00,R04,S745,C013,60
Day 3,14:00,14:30,R05,S667,C015,30
Day 3,14:00,14:30,R06,S708,C016,30
Day 3,14:00,15:00,R07,S716,C019,60
Day 3,14:00,14:30,R08,S776,C023,30
Day 3,14:00,15:00,R09,S072,C028,60
Day 3,14:00,14:30,R10,S702,C030,30
Day 3,14:00,14:30,R11,S620,C035,30
Day 3,14:15,15:00,R03,S549,C004,45
Day 3,14:30,15:00,R05,S641,C015,30
Day 3,14:30,15:00,R06,S699,C016,30
Day 3,14:30,15:00,R08,S753,C023,30
Day 3,14:30,15:00,R10,S620,C030,30
Day 3,14:30,15:00,R11,S660,C035,30
Day 3,15:00,16:00,R01,S786,C001,60
Day 3,15:00,16:00,R02,S764,C003,60
Day 3,15:00,15:45,R03,S583,C004,45
Day 3,15:00,16:00,R04,S777,C013,60
Day 3,15:00,15:30,R05,S634,C015,30
Day 3,15:00,16:00,R06,S312,C019,60
Day 3,15:00,15:30,R07,S768,C023,30
Day 3,15:00,16:00,R08,S489,C028,60
Day 3,15:00,15:30,R09,S708,C030,30
Day 3,15:00,15:30,R10,S670,C035,30
Day 3,15:30,16:00,R05,S655,C015,30
Day 3,15:30,16:00,R07,S755,C023,30
Day 3,15:30,16:00,R09,S660,C030,30
Day 3,15:30,16:00,R10,S619,C035,30
Day 3,15:45,16:30,R03,S585,C004,45
Day 3,16:00,17:00,R01,S779,C001,60
Day 3,16:00,17:00,R02,S702,C003,60
Day 3,16:00,17:00,R04,S753,C013,60
Day 3,16:00,16:30,R05,S629,C015,30
Day 3,16:00,16:30,R06,S744,C023,30
Day 3,16:00,16:30,R07,S591,C030,30
Day 3,16:00,16:30,R08,S651,C035,30
Day 3,16:30,17:00,R03,S651,C015,30
Day 3,16:30,17:00,R05,S767,C023,30
Day 3,16:30,17:00,R06,S692,C030,30
Day 3,16:30,17:00,R07,S548,C035,30
Day 3,17:00,18:00,R01,S777,C001,60
Day 3,17:00,18:00,R02,S789,C013,60
Day 3,17:00,17:30,R03,S619,C030,30
Day 3,17:30,18:00,R03,S711,C030,30
Day 4,09:00,09:30,R01,S666,C016,30
Day 4,09:00,09:45,R02,S737,C024,45
Day 4,09:00,10:00,R03,S733,C032,60
Day 4,09:30,10:00,R01,S658,C016,30
Day 4,09:45,10:30,R02,S731,C024,45
Day 4,10:00,10:45,R01,S410,C004,45
Day 4,10:00,10:30,R03,S732,C006,30
Day 4,10:00,11:00,R04,S715,C012,60
Day 4,10:00,10:45,R05,S624,C014,45
Day 4,10:00,10:30,R06,S625,C016,30
Day 4,10:00,11:00,R07,S048,C019,60
Day 4,10:00,10:30,R08,S575,C030,30
Day 4,10:00,11:00,R09,S737,C032,60
Day 4,10:00,10:30,R10,S778,C035,30
Day 4,10:30,11:00,R02,S775,C006,30
Day 4,10:30,11:00,R03,S623,C016,30
Day 4,10:30,11:15,R06,S740,C024,45
Day 4,10:30,11:00,R08,S549,C030,30
Day 4,10:30,11:00,R10,S699,C035,30
Day 4,10:45,11:30,R01,S454,C004,45
Day 4,10:45,11:30,R05,S388,C014,45
Day 4,11:00,11:45,R02,S563,C005,45
Day 4,11:00,11:30,R03,S718,C006,30
Day 4,11:00,12:00,R04,S727,C012,60
Day 4,11:00,11:30,R07,S637,C016,30
Day 4,11:00,11:30,R08,S620,C018,30
Day 4,11:00,12:00,R09,S142,C019,60
Day 4,11:00,11:30,R10,S693,C023,30
Day 4,11:00,11:30,R11,S559,C030,30
Day 4,11:00,11:30,R12,S713,C031,30
Day 4,11:00,12:00,R13,S729,C032,60
Day 4,11:00,11:30,R14,S711,C035,30
Day 4,11:15,12:00,R06,S744,C024,45
Day 4,11:30,12:15,R01,S421,C004,45
Day 4,11:30,12:00,R03,S769,C006,30
Day 4,11:30,12:15,R05,S398,C014,45
Day 4,11:30,12:00,R07,S611,C016,30
Day 4,11:30,12:00,R08,S651,C018,30
Day 4,11:30,12:00,R10,S698,C023,30
Day 4,11:30,12:00,R11,S551,C030,30
Day 4,11:30,12:00,R12,S730,C031,30
Day 4,11:30,12:00,R14,S721,C035,30
Day 4,11:45,12:30,R02,S492,C005,45
Day 4,12:00,12:30,R03,S759,C006,30
Day 4,12:00,13:00,R04,S733,C012,60
Day 4,12:00,12:30,R06,S629,C016,30
Day 4,12:00,12:30,R07,S792,C018,30
Day 4,12:00,13:00,R08,S119,C019,60
Day 4,12:00,12:30,R09,S703,C023,30
Day 4,12:00,12:45,R10,S726,C024,45
Day 4,12:00,12:30,R11,S544,C030,30
Day 4,12:00,12:30,R12,S743,C031,30
Day 4,12:00,13:00,R13,S781,C032,60
Day 4,12:00,12:30,R14,S775,C035,30
Day 4,12:15,13:00,R01,S426,C004,45
Day 4,12:15,13:00,R05,S670,C014,45
Day 4,12:30,13:15,R02,S468,C005,45
Day 4,12:30,13:00,R03,S751,C006,30
Day 4,12:30,13:00,R06,S594,C016,30
Day 4,12:30,13:00,R07,S797,C018,30
Day 4,12:30,13:00,R09,S728,C023,30
Day 4,12:30,13:00,R11,S583,C030,30
Day 4,12:30,13:00,R12,S710,C031,30
Day 4,12:30,13:00,R14,S725,C035,30
Day 4,13:00,13:45,R01,S001,C004,45
Day 4,13:00,13:30,R03,S795,C006,30
Day 4,13:00,14:00,R04,S730,C012,60
Day 4,13:00,13:45,R05,S606,C014,45
Day 4,13:00,13:30,R06,S632,C016,30
Day 4,13:00,13:30,R07,S641,C018,30
Day 4,13:00,14:00,R08,S083,C019,60
Day 4,13:00,13:30,R09,S705,C023,30
Day 4,13:00,13:30,R10,S585,C030,30
Day 4,13:00,13:30,R11,S723,C031,30
Day 4,13:00,14:00,R12,S777,C032,60
Day 4,13:00,13:30,R13,S787,C035,30
Day 4,13:15,14:00,R02,S373,C005,45
Day 4,13:30,14:00,R03,S744,C006,30
Day 4,13:30,14:00,R06,S648,C016,30
Day 4,13:30,14:00,R07,S660,C018,30
Day 4,13:30,14:00,R09,S685,C023,30
Day 4,13:30,14:00,R10,S573,C030,30
Day 4,13:30,14:00,R11,S716,C031,30
Day 4,13:30,14:00,R13,S797,C035,30
Day 4,13:45,14:30,R01,S434,C004,45
Day 4,13:45,14:30,R05,S107,C014,45
Day 4,14:00,14:45,R02,S313,C005,45
Day 4,14:00,14:30,R03,S766,C006,30
Day 4,14:00,14:30,R04,S655,C016,30
Day 4,14:00,14:30,R06,S712,C018,30
Day 4,14:00,14:30,R07,S730,C023,30
Day 4,14:00,14:30,R08,S733,C031,30
Day 4,14:00,15:00,R09,S745,C032,60
Day 4,14:00,14:30,R10,S770,C035,30
Day 4,14:30,15:15,R01,S428,C004,45
Day 4,14:30,15:00,R03,S758,C006,30
Day 4,14:30,15:15,R04,S565,C014,45
Day 4,14:30,15:00,R05,S671,C016,30
Day 4,14:30,15:00,R06,S738,C018,30
Day 4,14:30,15:00,R07,S714,C023,30
Day 4,14:30,15:00,R08,S744,C031,30
Day 4,14:30,15:00,R10,S724,C035,30
Day 4,14:45,15:30,R02,S299,C005,45
Day 4,15:00,15:30,R03,S746,C006,30
Day 4,15:00,15:30,R05,S616,C016,30
Day 4,15:00,15:30,R06,S726,C023,30
Day 4,15:00,15:30,R07,S735,C031,30
Day 4,15:00,15:30,R08,S712,C035,30
Day 4,15:15,16:00,R01,S415,C004,45
Day 4,15:15,16:00,R04,S204,C014,45
Day 4,15:30,16:15,R02,S708,C005,45
Day 4,15:30,16:00,R03,S727,C006,30
Day 4,15:30,16:00,R05,S601,C016,30
Day 4,15:30,16:00,R06,S736,C023,30
Day 4,15:30,16:00,R07,S740,C031,30
Day 4,15:30,16:00,R08,S781,C035,30
Day 4,16:00,16:30,R01,S730,C006,30
Day 4,16:00,16:45,R03,S307,C014,45
Day 4,16:00,16:30,R04,S620,C016,30
Day 4,16:00,16:30,R05,S715,C023,30
Day 4,16:00,16:30,R06,S729,C031,30
Day 4,16:15,17:00,R02,S739,C005,45
Day 4,16:30,17:00,R01,S771,C006,30
Day 4,16:30,17:00,R04,S586,C016,30
Day 4,16:30,17:00,R05,S701,C023,30
Day 4,16:30,17:00,R06,S737,C031,30
Day 4,16:45,17:30,R03,S435,C014,45
Day 4,17:00,17:45,R01,S421,C005,45
Day 4,17:00,17:30,R02,S729,C006,30
